created_at,screen_name,tweet_text,time_zone
Sun Apr 08 16:39:11 +0000 2018,chotu_indori,"RT @HighBPNews: Breaking :: #ShahidAfridi tried to play in ipl..

Anil Chaudary thrown him out 
#MIvCSK https://t.co/jDrVYFmpKe",
Sun Apr 08 16:39:12 +0000 2018,Anjanaomksyp,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:15 +0000 2018,MaheshK52152268,"RT @Pradeep50346064: #MIvCSK
#
  16  23             ",
Sun Apr 08 16:39:16 +0000 2018,DPKS511,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:17 +0000 2018,ArunbajpaiRajan,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Pacific Time (US & Canada)
Sun Apr 08 16:39:19 +0000 2018,DevPandey_,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,Pacific Time (US & Canada)
Sun Apr 08 16:39:21 +0000 2018,SirrrJadeja,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,New Delhi
Sun Apr 08 16:39:23 +0000 2018,Baljeet00958618,"RT @Gurugov38113652: #MIvCSK
#
,     ,  
    ,  
Must watch : S",
Sun Apr 08 16:39:25 +0000 2018,Virat_FC18,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
Sun Apr 08 16:39:26 +0000 2018,imShefalii,RT @iSachinDeshwal:                #KKRvRCB #KXIPvDD #MIvCSK ht,
